surname,firstname,Institution,Language,social
Sarvasy,Hannah,Western Sydney University,Nungon,(also Alba Tuninetti and other collaborators on this project)
Fascinetto-Zago,Karina ,Benemérita Universidad Autónoma de Puebla / Leiden University ,Venetian,
Park,Kihyo,Cornell University,Korean,
Zhu,Rebecca,UC Berkeley,Swahili,
Zhu,Rebecca,UC Berkeley,Luo,
Chanchaochai,Nattanun,"Department of Linguistics, Chulalongkorn University",Thai,https://www.arts.chula.ac.th/chulaseal/; https://www.chanchaochai.com/
Culbertson,Jennifer,University of Edinburgh,Kîîtharaka,http://jennifer-culbertson.github.io/
Kirby,Simon,University of Edinburgh,Nicaraguan Sign Language,https://www.simonkirby.net/
Ernstreits,Valts, UL Livonian Institute,Livonian,http://www.livones.net/lili/en
Parafita Couto,M Carmen,Leiden University / Universidade de Vigo,Galician,
Parafita Couto,M Carmen,Leiden University / Universidade de Vigo,Papiamento,
Parafita Couto,M Carmen,Leiden University / Universidade de Vigo,Welsh,
de-Dios-Flores,Iria,Universidade de Santiago de Compostela,Galician,
Rajeg,Gede Primahadi Wijaya,Universitas Udayana,Indonesian,https://orcid.org/0000-0002-2047-8621
Rajeg,Gede Primahadi Wijaya,Universitas Udayana,Balinese,https://orcid.org/0000-0002-2047-8621
Lopukhina,Anastasiya,HSE University,Russian,https://lopukhina.com/
Faghiri,Pegah,University of Amsterdam,Persian,https://www.uva.nl/en/profile/f/a/p.faghiri/p.faghiri.html?cb
Garcia,Azler,University of the Basque Country,Basque,http://www.hittlinguistics.eus/
Ribu,Ingeborg Sophie,Oslomet - Oslo Metropolitan University,Norwegian,https://www.oslomet.no/en/about/employee/ininge/
Sehyr,Zed,San Diego State University,American Sign Language,
Arvindam ,Vishal ,UC Santa Cruz ,Telugu ,https://people.ucsc.edu/~vsunilar/
Khanova,Aigul,HSE University (Higher School of Economics),Tatar,https://www.hse.ru/en/neuroling/
Dal Ben,Rodrigo,Ambrose University,Portuguese,https://roddalben.github.io/
Botezatu,Roxana,University of Missouri,Spanish,
Botezatu,Roxana,University of Missouri,Mandarin,
Botezatu,Roxana,University of Missouri,Dutch,
Lahiri,Aditi,University of Oxford,Bengali,https://www.ling-phil.ox.ac.uk/people/aditi-lahiri
